Group,Indicator,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1)
By week,Total Deaths,"3,307","490,389",0.85,"28,475","1,410"
By week,2/1/2020,0,"56,266",0.95,"3,002",0
By week,2/8/2020,0,"56,587",0.95,"3,002",0
By week,2/15/2020,0,"55,189",0.94,"2,910",0
By week,2/22/2020,0,"54,761",0.94,"2,872",0
By week,2/29/2020,5,"54,305",0.95,"2,863",2
By week,3/7/2020,18,"53,418",0.92,"2,884",7
By week,3/14/2020,43,"50,580",0.89,"2,869",18
By week,3/21/2020,385,"47,649",0.84,"3,024",156
By week,3/28/2020,"1,406","41,353",0.74,"3,164",592
By week,4/4/2020,"1,450","20,281",0.36,"1,885",635
By age,All ages,"3,307","490,389",0.85,"28,475","1,410"
By age,Under 1 year,0,"2,605",0.62,19,0
By age,1&ndash;4 years,1,529,0.73,24,1
By age,5&ndash;14 years,0,769,0.69,26,0
By age,15&ndash;24 years,4,"4,431",0.78,83,2
By age,25&ndash;34 years,29,"9,181",0.82,219,11
By age,35&ndash;44 years,79,"13,241",0.85,455,23
By age,45&ndash;54 years,201,"25,526",0.77,"1,154",80
By age,55&ndash;64 years,400,"61,830",0.82,"3,253",154
By age,65&ndash;74 years,763,"96,298",0.87,"5,533",281
By age,75&ndash;84 years,914,"121,482",0.88,"7,613",421
By age,85 years and over,916,"154,497",0.84,"10,096",437
By state,Total US,"3,307","490,389",0.85,"28,475","1,410"
By state,Alabama,7,"8,842",0.83,443,2
By state,Alaska,1,613,0.73,27,1
By state,Arizona,26,"11,862",0.97,622,10
By state,Arkansas,3,"5,939",0.92,306,2
By state,California,135,"50,784",0.91,"3,437",70
By state,Colorado,51,"7,575",0.95,380,25
By state,Connecticut,0,0,0,0,0
By state,Delaware,0,"1,295",0.69,56,0
By state,District of Columbia,1,"1,030",0.85,67,0
By state,Florida,57,"39,791",0.93,"2,036",19
By state,Georgia,35,"13,781",0.82,636,20
By state,Hawaii,0,"2,168",0.92,128,0
By state,Idaho,6,"2,636",0.92,119,4
By state,Illinois,64,"19,429",0.9,"1,233",36
By state,Indiana,5,"11,153",0.83,640,2
By state,Iowa,4,"5,503",0.89,325,1
By state,Kansas,4,"4,846",0.89,261,2
By state,Kentucky,3,"7,149",0.73,458,1
By state,Louisiana,60,"7,209",0.78,282,23
By state,Maine,6,"2,839",0.96,201,4
By state,Maryland,23,"9,484",0.93,572,10
By state,Massachusetts,55,"11,194",0.91,797,26
By state,Michigan,82,"17,639",0.9,919,34
By state,Minnesota,12,"8,387",0.95,450,5
By state,Mississippi,17,"5,803",0.91,381,3
By state,Missouri,9,"10,888",0.83,538,6
By state,Montana,0,"1,780",0.85,82,0
By state,Nebraska,0,"2,847",0.82,184,0
By state,Nevada,10,"4,756",0.92,242,9
By state,New Hampshire,5,"2,385",0.95,121,3
By state,New Jersey,43,"13,537",0.89,723,24
By state,New Mexico,0,"3,015",0.79,171,0
By state,New York,508,"20,336",1,"1,752",282
By state,New York City,"1,712","14,001",1.28,"1,670",641
By state,North Carolina,0,"4,672",0.24,232,0
By state,North Dakota,1,"1,256",0.89,89,0
By state,Ohio,0,"18,245",0.73,770,0
By state,Oklahoma,11,"6,321",0.77,399,3
By state,Oregon,14,"5,995",0.82,251,9
By state,Pennsylvania,38,"19,375",0.69,977,18
By state,Rhode Island,1,"1,619",0.76,57,1
By state,South Carolina,18,"9,467",0.96,438,6
By state,South Dakota,2,"1,426",0.86,81,0
By state,Tennessee,8,"13,548",0.91,798,6
By state,Texas,15,"35,928",0.88,"2,064",3
By state,Utah,2,"3,604",0.96,183,0
By state,Vermont,1,"1,072",0.92,49,1
By state,Virginia,23,"12,853",0.92,518,6
By state,Washington,213,"10,875",0.93,678,88
By state,West Virginia,0,"2,855",0.62,153,0
By state,Wisconsin,16,"9,979",0.94,434,4
By state,Wyoming,0,803,0.89,45,0
